Parcel Unit,Parcel Number,Landlord License Year,Parcel Address,Latitude,Longitude,Location,Parcel City,Location (state),Location (zip),Zip Code Boundaries,2010 Census Tracts,Commission Districts,Gainesville Police Districts,Florida Census Zip Codes
10607-003-000-1,10607-003-000,2019,01101 NE 20TH  PL,29.671427,-82.311249,POINT (-82.311249 29.671426999999998),GAINESVILLE,FL,32609,4,12,2,2,766
10804-020-000-1,10804-020-000,2019,01627 NE 15TH  ST,29.6675,-82.305828,POINT (-82.305828 29.6675),GAINESVILLE,FL,32609,4,12,1,2,766
06076-010-010-1,06076-010-010,2019,02306 NW 44TH  PL,29.695098,-82.356252,POINT (-82.356252 29.695098000000005),GAINESVILLE,FL,32605,5,18,2,7,770
06076-030-003-1,06076-030-003,2019,04716 NW 25TH  DR,29.69807,-82.360156,POINT (-82.360156 29.698069999999998),GAINESVILLE,FL,32605,5,18,2,7,770
07902-030-008-1,07902-030-008,2019,04623 NW 21ST  DR,29.697475,-82.353079,POINT (-82.353079 29.697475),GAINESVILLE,FL,32605,5,18,2,7,770
08985-007-017-1,08985-007-017,2019,03307 NW 18TH  ST,29.683424,-82.34618,POINT (-82.34618 29.683424000000002),GAINESVILLE,FL,32605,5,9,2,4,770
09004-061-000-1,09004-061-000,2019,02812 NW 22ND  ST,29.678011,-82.353711,POINT (-82.353711 29.678011),GAINESVILLE,FL,32605,5,8,2,4,770
06386-010-050-1,06386-010-050,2019,00911 NW 42ND  TER,29.660528,-82.388085,POINT (-82.388085 29.660528),GAINESVILLE,FL,32605,5,35,3,6,770
06082-086-000-1,06082-086-000,2019,03936 NW 30TH  TER,29.689667,-82.367691,POINT (-82.367691 29.689666999999996),GAINESVILLE,FL,32605,5,18,2,7,770
06392-001-011-1,06392-001-011,2019,04110 NW 17TH  PL,29.668578,-82.387447,POINT (-82.387447 29.668578),GAINESVILLE,FL,32605,5,35,3,6,770
10431-000-000-1,10431-000-000,2019,00730 NE 10TH  AVE,29.660768,-82.316367,POINT (-82.316367 29.660768),GAINESVILLE,FL,32601,1,13,4,2,772
