state,county,geoid,lives
FL,Duval,12031012300,36.5
FL,Duval,12031012400,39.4
FL,Duval,12031012500,38.2
FL,Duval,12031012601,33.6
FL,Duval,12031012602,34.9
FL,Duval,12031012702,32
FL,Duval,12031012703,37.3
FL,Duval,12031012704,31
FL,Duval,12031012800,35.1
FL,Duval,12031012900,40
FL,Duval,12031013000,46
FL,Duval,12031013100,39.7
FL,Duval,12031013200,22.3
FL,Duval,12031013300,34.2
FL,Duval,12031013402,35.3
FL,Duval,12031013403,34.1
FL,Duval,12031013404,35.1
FL,Duval,12031013502,34.4
FL,Duval,12031013503,31.9
FL,Duval,12031013504,36.4
FL,Duval,12031013521,29.1
FL,Duval,12031013522,31
FL,Duval,12031013721,29.9
FL,Duval,12031013723,34.5
FL,Duval,12031013726,33.4
FL,Duval,12031013727,37.6
FL,Duval,12031013800,22
FL,Duval,12031013901,25.8
FL,Duval,12031013902,33.9
FL,Duval,12031013904,31.6
FL,Duval,12031013905,49.2
