year,state,species,pounds,dollars
1990,New Jersey,"COD, ATLANTIC",1231,722
1990,New Jersey,"COD, ATLANTIC",5091,5363
1990,New Jersey,"COD, ATLANTIC",2466,1806
1990,New Jersey,"COD, ATLANTIC",6216,4633
1990,Rhode Island,"COD, ATLANTIC",681904,375014
1990,Rhode Island,"COD, ATLANTIC",1758293,1075320
1990,Rhode Island,"COD, ATLANTIC",1033317,690656
1990,Rhode Island,"COD, ATLANTIC",173841,114388
1990,Rhode Island,"COD, ATLANTIC",5804,3218
1989,Connecticut,"COD, ATLANTIC",460300,362020
1989,Maine,"COD, ATLANTIC",1900,960
1989,Maine,"COD, ATLANTIC",319900,157590
1989,Maine,"COD, ATLANTIC",2235700,1243106
1989,Maine,"COD, ATLANTIC",7540500,4440947
1989,Maine,"COD, ATLANTIC",2318600,1420745
1989,Massachusetts,"COD, ATLANTIC",29988400,19067873
1989,Massachusetts,"COD, ATLANTIC",1633400,712736
1989,Massachusetts,"COD, ATLANTIC",14179500,8177629
1989,Massachusetts,"COD, ATLANTIC",281600,173406
1989,Massachusetts,"COD, ATLANTIC",12449600,7569627
1989,New Hampshire,"COD, ATLANTIC",20000,14681
1989,New Hampshire,"COD, ATLANTIC",765800,515250
1989,New Hampshire,"COD, ATLANTIC",1831600,1215646
1989,New Hampshire,"COD, ATLANTIC",523900,325346
1989,New Hampshire,"COD, ATLANTIC",308500,98298
1989,New Jersey,"COD, ATLANTIC",23600,14450
1989,New Jersey,"COD, ATLANTIC",13300,7123
1989,New Jersey,"COD, ATLANTIC",42100,29450
1989,New Jersey,"COD, ATLANTIC",300,170
1989,Rhode Island,"COD, ATLANTIC",139100,71834
1989,Rhode Island,"COD, ATLANTIC",2003300,1181872
1989,Rhode Island,"COD, ATLANTIC",796600,456941
1989,Rhode Island,"COD, ATLANTIC",4700,2241
1989,Rhode Island,"COD, ATLANTIC",390400,189207
1988,Connecticut,"COD, ATLANTIC",255500,168630
1988,Maine,"COD, ATLANTIC",285700,117288
1988,Maine,"COD, ATLANTIC",1755400,826064
1988,Maine,"COD, ATLANTIC",3545700,1809981
1988,Maine,"COD, ATLANTIC",93400,50929
1988,Maine,"COD, ATLANTIC",2423900,1229294
1988,Massachusetts,"COD, ATLANTIC",28324700,16805736
1988,Massachusetts,"COD, ATLANTIC",17620600,9251123
1988,Massachusetts,"COD, ATLANTIC",1411400,707136
1988,Massachusetts,"COD, ATLANTIC",263900,149429
1988,Massachusetts,"COD, ATLANTIC",13618300,8118803
1988,New Hampshire,"COD, ATLANTIC",239400,82786
1988,New Hampshire,"COD, ATLANTIC",418000,213678
1988,New Hampshire,"COD, ATLANTIC",821400,487748
1988,New Hampshire,"COD, ATLANTIC",19800,12939
1988,New Hampshire,"COD, ATLANTIC",1461500,833694
1988,New Jersey,"COD, ATLANTIC",13100,8080
1988,New Jersey,"COD, ATLANTIC",700,295
1988,New Jersey,"COD, ATLANTIC",900,373
1988,New Jersey,"COD, ATLANTIC",200,64
1988,Rhode Island,"COD, ATLANTIC",2800,899
1988,Rhode Island,"COD, ATLANTIC",852600,437684
1988,Rhode Island,"COD, ATLANTIC",1563700,850440
1988,Rhode Island,"COD, ATLANTIC",537900,260284
1988,Rhode Island,"COD, ATLANTIC",52300,28506
